MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AARON,AARON INDUSTRIES LIMITED,        48.75,        48.60,        48.60,        48.60,        48.60,                   160380.00,3300, ,        53.50,        39.00
N,SM,ACCURACY,ACCURACY SHIPPING LIMITED,        22.85,        23.95,        23.95,        23.00,        23.00,                   185520.00,8000, ,        87.00,        20.80
N,SM,AHLADA,AHLADA ENGINEERS LIMITED,        53.85,        57.15,        60.00,        57.15,        57.50,                   354550.00,6000, ,       140.00,        36.30
N,SM,AKG,AKG EXIM LIMITED,        34.00,        33.50,        33.50,        33.50,        33.50,                   134000.00,4000, ,        37.00,        30.00
N,SM,AVROIND,AVRO INDIA LIMITED,        57.00,        57.00,        59.60,        57.00,        58.30,                   233200.00,4000, ,        59.60,        25.70
N,SM,BCONCEPTS,BRAND CONCEPTS LIMITED,        26.00,        26.05,        26.40,        26.05,        26.40,                   235500.00,9000, ,        74.50,        23.90
N,SM,BETA,BETA DRUGS LIMITED,        66.00,        64.00,        65.00,        64.00,        65.00,                   155200.00,2400, ,       124.00,        57.60
N,SM,BOHRA,BOHRA INDUSTRIES LIMITED,         1.25,         1.20,         1.20,         1.20,         1.20,                    12000.00,10000, ,        21.50,         1.20
N,SM,BSHSL,BOMBAY SUPER HYBRID SEEDS,       108.00,       107.00,       109.00,       107.00,       109.00,                   389400.00,3600, ,       136.00,       106.50
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        32.90,        33.90,        33.90,        33.90,        33.90,                    67800.00,2000, ,        63.45,        31.50
N,SM,CMMIPL,CMM INFRAPROJECTS LIMITED,         8.45,         8.85,         8.85,         8.85,         8.85,                   106200.00,12000, ,        10.50,         2.45
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        94.00,        97.05,        98.70,        97.00,        98.60,                 31780600.00,324000, ,        98.70,        11.85
N,SM,DCI,DC INFOTECH AND COMUN LTD,        45.25,        45.20,        45.20,        45.20,        45.20,                   678000.00,15000, ,        45.50,        45.20
N,SM,DEVIT,DEV INFO TECHNOLOGY LTD,        75.05,        75.50,        75.65,        75.50,        75.65,                   226725.00,3000, ,       101.00,        65.00
N,SM,DPABHUSHAN,D. P. ABHUSHAN LIMITED,        60.00,        58.55,        58.55,        58.55,        58.55,                   234200.00,4000, ,        61.00,        37.50
N,SM,DRSDILIP,DRS DILIP ROADLINES LTD.,        75.05,        75.05,        75.05,        75.05,        75.05,                   120080.00,1600, ,        78.00,        61.00
N,SM,DSML,DEBOCK SALE MARKETING LTD,         5.45,         5.25,         5.65,         5.20,         5.65,                    96600.00,18000, ,        12.05,         3.55
N,SM,E2E,E2E NETWORKS LIMITED,        19.40,        18.80,        18.90,        18.45,        18.45,                   633800.00,34000, ,        57.00,        18.45
N,SM,EIFFL,EURO (I) FRESH FOODS LTD,       115.25,       114.50,       114.80,       114.50,       114.80,                   550560.00,4800, ,       131.00,        81.00
N,SM,FOCUS,FOCUS LIGHTG & FIXTRS LTD,        34.00,        34.00,        34.00,        34.00,        34.00,                   102000.00,3000, ,       178.00,        29.45
N,SM,GEEKAYWIRE,GEEKAY WIRES LIMITED,        39.00,        39.00,        39.00,        39.00,        39.00,                   468000.00,12000, ,        39.00,        31.00
N,SM,INNOVANA,INNOVANA THINKLABS LTD.,       103.50,       107.00,       108.65,       102.45,       103.80,                   837100.00,8000, ,       416.00,       102.00
N,SM,IRISDOREME,IRIS CLOTHINGS LIMITED,       128.00,       129.00,       133.00,       129.00,       133.00,                   836800.00,6400, ,       145.00,        97.00
N,SM,JAKHARIA,JAKHARIA FABRIC LIMITED,       180.00,       181.00,       181.00,       181.00,       181.00,                  1013600.00,5600, ,       207.00,       180.00
N,SM,JALAN,JALAN TRANSOLU. INDIA LTD,         5.35,         5.60,         5.60,         5.60,         5.60,                    67200.00,12000, ,        18.10,         2.85
N,SM,JETFREIGHT,JET FREIGHT LOGISTICS LTD,        15.05,        15.80,        15.80,        15.80,        15.80,                    63200.00,4000, ,        26.00,        15.05
N,SM,LAGNAM,LAGNAM SPINTEX LIMITED,        10.25,        10.25,        10.25,        10.25,        10.25,                    30750.00,3000, ,        16.45,        10.00
N,SM,LAXMICOT,LAXMI COTSPIN LIMITED,         9.20,         8.10,         8.10,         8.10,         8.10,                    48600.00,6000, ,        14.80,         8.10
N,SM,MAHICKRA,MAHICKRA CHEMICAL LIMITED,        88.15,        88.00,        88.00,        88.00,        88.00,                   264000.00,3000, ,        93.50,        40.80
N,SM,MARINE,MARINE ELECTRICAL (I) LTD,        99.95,       100.00,       100.10,        98.00,        99.75,                  1192300.00,12000, ,       123.00,        88.00
N,SM,MCL,MADHAV COPPER LIMITED,       100.70,        96.95,       102.00,        96.95,       100.40,                  5543160.00,55200, ,       358.00,        96.95
N,SM,MDL,MARVEL DECOR LIMITED,        21.70,        22.70,        22.70,        22.70,        22.70,                    45400.00,2000, ,        39.00,        13.90
N,SM,MGEL,MANGALAM GLOBAL ENT LTD,        53.05,        53.05,        53.05,        53.05,        53.05,                   106100.00,2000, ,        54.00,        51.05
N,SM,MINDPOOL,MINDPOOL TECHNOLOGIES LTD,        15.00,        15.00,        15.00,        15.00,        15.00,                   120000.00,8000, ,        30.00,        14.10
N,SM,MOKSH,MOKSH ORNAMENTS LIMITED,        26.05,        26.05,        26.05,        26.05,        26.05,                    78150.00,3000, ,        27.50,        16.25
N,SM,OSWALSEEDS,SHREEOSWAL S AND CHE LTD,        27.95,        28.45,        28.55,        28.45,        28.55,                   342000.00,12000, ,        29.90,        19.95
N,SM,PAR,PAR DRUGS AND CHEM LTD,        37.00,        35.05,        35.05,        35.05,        35.05,                    70100.00,2000, ,        56.00,        35.05
N,SM,PASHUPATI,PASHUPATI COTSPIN LIMITED,        57.50,        57.35,        57.50,        57.35,        57.50,                  3949040.00,68800, ,        75.00,        46.25
N,SM,PROLIFE,PROLIFE INDUSTRIES LTD,        31.55,        33.10,        33.10,        33.10,        33.10,                   297900.00,9000, ,        33.10,        22.90
N,SM,PUSHPREALM,PUSHPA REAL AND INFRA LTD,         7.40,         7.75,         7.75,         7.75,         7.75,                    15500.00,2000, ,        24.50,         3.70
N,SM,RKEC,RKEC PROJECTS LIMITED,        56.60,        57.00,        57.00,        57.00,        57.00,                   171000.00,3000, ,        68.00,        35.00
N,SM,RMDRIP,R M DRIP & SPRINK SYS LTD,        31.90,        31.00,        31.95,        31.00,        31.95,                   125900.00,4000, ,        56.50,        13.00
N,SM,SARVESHWAR,SARVESHWAR FOODS LIMITED,        15.10,        14.65,        14.65,        14.65,        14.65,                    23440.00,1600, ,        43.85,        14.50
N,SM,SECL,SALASAR EXTERIOR CONT LTD,        47.00,        48.90,        48.90,        48.90,        48.90,                   293400.00,6000, ,        62.25,        38.50
N,SM,SERVOTECH,SERVOTECH POWER SYS LTD.,         9.90,        10.40,        10.40,        10.00,        10.00,                    81600.00,8000, ,        24.50,         6.50
N,SM,SHUBHLAXMI,SHUBHLAXMI JEWEL ART LTD,        43.00,        41.50,        41.70,        41.50,        41.70,                   249500.00,6000, ,       209.50,        35.00
N,SM,SILLYMONKS,SILLY MONKS ENTERTAIN LTD,        79.00,        82.00,        82.00,        82.00,        82.00,                    98400.00,1200, ,        88.00,        48.60
N,SM,SONAMCLOCK,SONAM CLOCK LIMITED,        37.80,        38.00,        38.00,        38.00,        38.00,                   570000.00,15000, ,        41.95,        36.90
N,SM,SSINFRA,S S INFRA DEVP CONSL LTD,        13.85,        13.25,        13.25,        13.20,        13.20,                   158550.00,12000, ,        19.35,         8.80
N,SM,SUPREMEENG,SUPREME ENGINEERING LTD,        28.80,        28.50,        28.50,        28.40,        28.50,                   569000.00,20000, ,        42.00,        20.50
N,SM,SUREVIN,SUREVIN BPO SERVICES LTD,        70.00,        71.00,        71.00,        71.00,        71.00,                   852000.00,12000, ,       111.00,        70.00
N,SM,SVLL,SHREE VASU LOGISTICS LTD,       101.40,       101.80,       101.80,       101.80,       101.80,                   101800.00,1000, ,       130.00,        75.00
N,SM,THEJO,THEJO ENGINEERING LIMITED,       510.00,       510.00,       512.00,       510.00,       510.00,                  3265220.00,6400, ,       600.00,       470.25
N,SM,TIRUPATIFL,TIRUPATI FORGE LIMITED,        30.80,        30.50,        30.90,        30.50,        30.90,                   196480.00,6400, ,        51.00,        25.55
N,SM,TRANSWIND,TRANSWIND INFRA LIMITED,         4.10,         4.30,         4.30,         4.30,         4.30,                    17200.00,4000, ,        10.50,         3.20
N,SM,UNIINFO,UNIINFOTELECOMSERVILTD,        29.60,        29.25,        30.15,        29.25,        29.85,                   417300.00,14000, ,        44.80,        16.40
N,SM,URAVI,URAVI T AND WEDG LAMP LTD,       102.00,       101.90,       101.90,       101.90,       101.90,                   122280.00,1200, ,       120.50,        91.00
N,SM,VASA,VASA RETAIL & OVERSEA LTD,         7.85,         7.50,         7.50,         7.50,         7.50,                   180000.00,24000, ,        26.10,         7.50
N,SM,VCL,VAXTEX COTFAB LIMITED,        22.65,        22.70,        22.70,        22.70,        22.70,                   136200.00,6000, ,        25.50,        20.00
N,SM,VERTOZ,VERTOZ ADVERTISING LTD,        85.35,        83.20,        94.20,        83.20,        94.20,                   425760.00,4800, ,       211.00,        71.00
N,SM,WORTH,WORTH PERIPHERALS LIMITED,        45.60,        44.50,        44.50,        44.00,        44.00,                   132750.00,3000, ,        72.95,        39.00
N,SM,ZODIAC,ZODIAC ENERGY LIMITED,        21.00,        20.00,        20.00,        19.95,        19.95,                    79900.00,4000, ,        32.00,        14.30
N,ST,HPIL,HINDPRAKASH INDUSTRY LTD,        41.50,        41.00,        41.00,        41.00,        41.00,                   123000.00,3000, ,        42.70,        40.70
