MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AARON,AARON INDUSTRIES LIMITED,        27.25,        27.25,        27.25,        27.25,        27.25,                   171675.00,6300, ,        58.00,        27.25
N,SM,AHLADA,AHLADA ENGINEERS LIMITED,        42.00,        43.95,        44.90,        43.95,        44.50,                   266750.00,6000, ,        69.95,        36.30
N,SM,AJOONI,AJOONI BIOTECH LIMITED,        33.90,        34.00,        34.00,        34.00,        34.00,                   136000.00,4000, ,        36.50,         6.35
N,SM,AKG,AKG EXIM LIMITED,        66.15,        66.50,        66.50,        66.50,        66.50,                   266000.00,4000, ,        66.50,        30.00
N,SM,AMJUMBO,A AND M JUMBO BAGS LTD,        12.45,        12.45,        12.45,        12.45,        12.45,                    99600.00,8000, ,        14.70,         5.85
N,SM,ARVEE,ARVEE LABORATORIES I LTD,        79.75,        41.50,        41.50,        41.50,        41.50,                   166000.00,4000, ,        79.75,        37.60
N,SM,ASLIND,ASL INDUSTRIES LIMITED,         6.60,         6.90,         6.90,         6.90,         6.90,                    27600.00,4000, ,        11.20,         4.75
N,SM,BETA,BETA DRUGS LIMITED,       129.85,       129.00,       129.00,       128.95,       129.00,                   515960.00,4000, ,       140.80,        37.00
N,SM,BOHRA,BOHRA INDUSTRIES LIMITED,         1.30,         1.30,         1.30,         1.30,         1.30,                     2600.00,2000, ,         2.90,          .35
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,         6.80,         6.20,         6.60,         6.15,         6.60,                   319200.00,51000, ,        19.90,         4.70
N,SM,BSHSL,BOMBAY SUPER HYBRID SEEDS,        91.00,        91.10,        91.10,        91.10,        91.10,                   145760.00,1600, ,       134.05,        77.50
N,SM,CKPLEISURE,CKP LEISURE LIMITED,         3.20,         3.35,         3.35,         3.35,         3.35,                    40200.00,12000, ,         7.55,         3.00
N,SM,CMMIPL,CMM INFRAPROJECTS LIMITED,         2.40,         2.45,         2.50,         2.45,         2.50,                    29700.00,12000, ,         9.25,         2.30
N,SM,DPABHUSHAN,D. P. ABHUSHAN LIMITED,        98.60,       100.00,       100.00,       100.00,       100.00,                   400000.00,4000, ,       100.00,        37.50
